ticker,VolRank
PEPE,4.1194
INJ,2.50413
ARB,2.09863
LDO,1.90815
FLOKI,1.80129
OP,1.79732
DYDX,1.78704
BLUR,1.70762
SUI,1.67008
FTM,1.61011
APT,1.57145
NEAR,1.44493
AXS,1.41106
GMX,1.39508
CRV,1.38266
SOL,1.35921
DOGE,1.31804
FIL,1.30012
FLOW,1.28502
LTC,1.27671
AVAX,1.25931
XRP,1.23463
AAVE,1.21905
ATOM,1.21897
MATIC,1.20317
LINK,1.19704
APE,1.17526
ADA,1.14501
UNI,1.10604
BCH,1.08266
DOT,1.07726
SHIB,1.04157
ETH,1.0
BTC,0.91597
BNB,0.76888
AUD,0.70007
TRX,0.66918
XAG,0.28873
XAU,0.28873
GBP,0.2035
EUR,0.17724
